&#x1f602;,0.68554564802
&#x2764;,0.89219733553
&#x2665;,0.83931106672
&#x1f60d;,0.85942549645
&#x1f62d;,0.37717186804
&#x1f618;,0.87295936441
&#x1f60a;,0.84567822827
&#x1f44c;,0.81910529218
&#x1f495;,0.82871178485
&#x1f44f;,0.80008321762
&#x1f601;,0.77152163818
&#x263a;,0.85449788434
&#x2661;,0.85505448526
&#x1f44d;,0.80707002459
&#x1f629;,0.23032287824
&#x1f64f;,0.72199817004
&#x270c;,0.77156122698
&#x1f60f;,0.61447707194
&#x1f609;,0.76390185202
&#x1f64c;,0.82115377936
&#x1f648;,0.78008915991
&#x1f4aa;,0.80219809314
&#x1f604;,0.75948928205
&#x1f612;,0.22936371271
&#x1f483;,0.88632361758
&#x1f496;,0.87352233869
&#x1f603;,0.80335900761
&#x1f614;,0.34017059876
&#x1f631;,0.67068904476
&#x1f389;,0.88527392852
&#x1f61c;,0.76546704127
&#x262f;,0.50230488611
&#x1f338;,0.83774065494
&#x1f49c;,0.84280597646
&#x1f499;,0.87771550140
&#x2728;,0.60158524745
&#x1f633;,0.56049018515
&#x1f497;,0.84790183601
&#x2605;,0.57888163601
&#x2588;,0.52663292136
&#x2600;,0.71500276161
&#x1f621;,0.30602319726
&#x1f60e;,0.78421855587
&#x1f622;,0.54251837838
&#x1f48b;,0.85987454411
&#x1f60b;,0.83054150647
&#x1f64a;,0.78059223083
&#x1f634;,0.39072883500
&#x1f3b6;,0.80590930028
&#x1f49e;,0.88685236202
&#x1f60c;,0.79757593569
&#x1f525;,0.57269155728
&#x1f4af;,0.61991741950
&#x1f52b;,0.31070872313
&#x1f49b;,0.87186985291
&#x1f481;,0.72936597394
&#x1f49a;,0.86134289463
&#x266b;,0.58915225740
&#x1f61e;,0.34781610631
&#x1f606;,0.76188296527
&#x1f61d;,0.75792864808
&#x1f62a;,0.38756140565
&#xfffd;,0.57564927296
&#x1f62b;,0.33262616692
&#x1f605;,0.67502481967
&#x1f44a;,0.69816454653
&#x1f480;,0.31787504290
&#x1f600;,0.81757676237
&#x1f61a;,0.87565409621
&#x1f63b;,0.83683109640
&#xa9;,0.57011820377
&#x1f440;,0.59242057401
&#x1f498;,0.86050199375
&#x1f413;,0.54376785350
&#x2615;,0.60218121158
&#x1f44b;,0.76591916065
&#x270b;,0.64718270958
&#x1f38a;,0.88628616336
&#x1f355;,0.70332732232
&#x2744;,0.78916593420
&#x1f625;,0.63905754205
&#x1f615;,0.22157642431
&#x1f4a5;,0.55787054518
&#x1f494;,0.37342517035
&#x1f624;,0.31247333523
&#x1f608;,0.69539383307
&#x25ba;,0.57825998339
&#x2708;,0.61500353255
&#x1f51d;,0.76337947908
&#x1f630;,0.44623197976
&#x26bd;,0.82612535933
&#x1f611;,0.27524527257
&#x1f451;,0.86428174193
&#x1f639;,0.64751101654
&#x1f449;,0.61660885472
&#x1f343;,0.70994939867
&#x1f381;,0.89801978594
&#x1f620;,0.25480874812
&#x1f427;,0.71985222310
&#x2606;,0.61527792503
&#x1f340;,0.57775160770
&#x1f388;,0.86271304085
&#x1f385;,0.58705242673
&#x1f613;,0.38731931177
&#x1f623;,0.28802963061
&#x1f610;,0.24568572592
&#x270a;,0.76544337908
&#x1f628;,0.35558393441
&#x1f616;,0.32906945855
&#x1f4a4;,0.73206612743
